                   r             Lagrange              Neville       Neville greska               Spline     Neville - Spline 
       +8.518143e+00        -1.247307e-01        -1.177031e-01        -2.675720e-02        -1.277745e-01        +1.007147e-02
       +8.618286e+00        -1.104184e-01        -8.957014e-02        -8.405260e-02        -1.188293e-01        +2.925912e-02
       +8.718429e+00        -1.083861e-01        -1.025089e-01        -2.517710e-02        -1.105904e-01        +8.081468e-03
       +8.818571e+00        -1.240455e-01        -1.843671e-01        +2.756585e-01        -1.030637e-01        -8.130345e-02
       +8.918714e+00        -1.300020e-01        -2.351216e-01        +5.147325e-01        -9.618411e-02        -1.389375e-01
       +9.018857e+00        -6.943895e-02        -5.736883e-04        -3.631824e-01        -8.986078e-02        +8.928710e-02
       +9.119000e+00        +5.531705e-02        +5.669501e-01        -2.923440e+00        -8.401069e-02        +6.509608e-01
       +9.219143e+00        +4.678888e-02        +5.502613e-01        -3.138757e+00        -7.856726e-02        +6.288285e-01
       +9.319286e+00        -4.053197e-01        -1.870473e+00        +1.004910e+01        -7.346952e-02        -1.797003e+00
       +9.419429e+00        -1.058017e+00        -5.888324e+00        +3.681809e+01        -6.871246e-02        -5.819612e+00
       +9.519571e+00        -2.086908e-01        -9.936706e-01        +6.732924e+00        -6.433578e-02        -9.293348e-01
       +9.619714e+00        +4.150114e+00        +2.986951e+01        -2.521938e+02        -6.036078e-02        +2.992987e+01
       +9.719857e+00        +7.679439e+00        +6.132486e+01        -6.139532e+02        -5.671570e-02        +6.138158e+01
       +9.820000e+00        -8.667137e+00        -7.737799e+01        +9.442004e+02        -5.330193e-02        -7.732468e+01
